
============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Sat Nov 21 18:37:50 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <200> procnanny.server.c(167), NULL pointer free'd
NULL free: <201> procnanny.server.c(167), NULL pointer free'd
NULL free: <202> procnanny.server.c(167), NULL pointer free'd
NULL free: <203> procnanny.server.c(167), NULL pointer free'd
NULL free: <204> procnanny.server.c(167), NULL pointer free'd
NULL free: <205> procnanny.server.c(167), NULL pointer free'd
NULL free: <206> procnanny.server.c(167), NULL pointer free'd
NULL free: <207> procnanny.server.c(167), NULL pointer free'd
NULL free: <208> procnanny.server.c(167), NULL pointer free'd
NULL free: <209> procnanny.server.c(167), NULL pointer free'd
NULL free: <210> procnanny.server.c(167), NULL pointer free'd
NULL free: <211> procnanny.server.c(167), NULL pointer free'd
NULL free: <212> procnanny.server.c(167), NULL pointer free'd
NULL free: <213> procnanny.server.c(167), NULL pointer free'd
NULL free: <214> procnanny.server.c(167), NULL pointer free'd
NULL free: <215> procnanny.server.c(167), NULL pointer free'd
NULL free: <216> procnanny.server.c(167), NULL pointer free'd
NULL free: <217> procnanny.server.c(167), NULL pointer free'd
NULL free: <218> procnanny.server.c(167), NULL pointer free'd
NULL free: <219> procnanny.server.c(167), NULL pointer free'd
NULL free: <220> procnanny.server.c(167), NULL pointer free'd
NULL free: <221> procnanny.server.c(167), NULL pointer free'd
NULL free: <222> procnanny.server.c(167), NULL pointer free'd
NULL free: <223> procnanny.server.c(167), NULL pointer free'd
NULL free: <224> procnanny.server.c(167), NULL pointer free'd
NULL free: <225> procnanny.server.c(167), NULL pointer free'd
NULL free: <226> procnanny.server.c(167), NULL pointer free'd
NULL free: <227> procnanny.server.c(167), NULL pointer free'd
NULL free: <228> procnanny.server.c(167), NULL pointer free'd
NULL free: <229> procnanny.server.c(167), NULL pointer free'd
NULL free: <230> procnanny.server.c(167), NULL pointer free'd
NULL free: <231> procnanny.server.c(167), NULL pointer free'd
NULL free: <232> procnanny.server.c(167), NULL pointer free'd
NULL free: <233> procnanny.server.c(167), NULL pointer free'd
NULL free: <234> procnanny.server.c(167), NULL pointer free'd
NULL free: <235> procnanny.server.c(167), NULL pointer free'd
NULL free: <236> procnanny.server.c(167), NULL pointer free'd
NULL free: <237> procnanny.server.c(167), NULL pointer free'd
NULL free: <238> procnanny.server.c(167), NULL pointer free'd
NULL free: <239> procnanny.server.c(167), NULL pointer free'd
NULL free: <240> procnanny.server.c(167), NULL pointer free'd
NULL free: <241> procnanny.server.c(167), NULL pointer free'd
NULL free: <242> procnanny.server.c(167), NULL pointer free'd
NULL free: <243> procnanny.server.c(167), NULL pointer free'd
NULL free: <244> procnanny.server.c(167), NULL pointer free'd
NULL free: <245> procnanny.server.c(167), NULL pointer free'd
NULL free: <246> procnanny.server.c(167), NULL pointer free'd
NULL free: <247> procnanny.server.c(167), NULL pointer free'd
NULL free: <248> procnanny.server.c(167), NULL pointer free'd
NULL free: <249> procnanny.server.c(167), NULL pointer free'd
NULL free: <250> procnanny.server.c(167), NULL pointer free'd
NULL free: <251> procnanny.server.c(167), NULL pointer free'd
NULL free: <252> procnanny.server.c(167), NULL pointer free'd
NULL free: <253> procnanny.server.c(167), NULL pointer free'd
NULL free: <254> procnanny.server.c(167), NULL pointer free'd
NULL free: <255> procnanny.server.c(167), NULL pointer free'd
NULL free: <256> procnanny.server.c(167), NULL pointer free'd
NULL free: <257> procnanny.server.c(167), NULL pointer free'd
NULL free: <258> procnanny.server.c(167), NULL pointer free'd
NULL free: <259> procnanny.server.c(167), NULL pointer free'd

Stopped at Sat Nov 21 18:41:12 2015

unfreed: <3> procnanny.server.c(451), 8 bytes at 0x1112110  	{10 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. ........}
unfreed: <1> procnanny.server.c(380), 33280 bytes at 0x1112af0  	{63 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 c.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 2
 L)argest memory usage      : 33288
 T)otal of all alloc() calls: 33288
 U)nfreed bytes totals      : 33288

============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Sat Nov 21 18:43:29 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(450), NULL pointer free'd

Stopped at Sat Nov 21 18:53:00 2015

unfreed: <3> procnanny.server.c(456), 8 bytes at 0x2292110  	{10 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. ........}
unfreed: <1> procnanny.server.c(385), 33280 bytes at 0x2292af0  	{63 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 c.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 2
